Artist,Sex
Jetty Paerl,female
Lys Assia,female
Fud Leclerc,male
Walter Andreas Schwarz,male
Mathé Altéry,female
Michèle Arnaud,female
Franca Raimondi,female
Corry Brokken,female
Mony Marc,female
Freddy Quinn,male
Dany Dauberson,female
Tonina Torrielli,female
Bobbejaan Schoepen,male
Danièle Dupré,female
Patricia Bredin,female
Nunzio Gallo,male
Bob Martin,male
Margot Hielscher,female
Paule Desjardins,female
Birthe Wilke & Gustav Winckler,group
Domenico Modugno,male
André Claveau,male
Solange Berry,female
Alice Babs,female
Raquel Rastenni,female
Liane Augustin,female
Jean Philippe,male
Birthe Wilke,female
Jacques Pills,male
Teddy Scholten,female
Alice & Ellen Kessler,group
Brita Borg,female
Christa Williams,female
Ferry Graf,male
Pearl Carr & Teddy Johnson,group
Bob Benny,male
Bryan Johnson,male
Siw Malmkvist,female
Camillo Felgen,male
Katy Bødtger,female
Nora Brockstedt,female
Harry Winter,male
François Deguelt,male
Anita Traversi,female
Rudi Carrell,male
Wyn Hoop,male
Renato Rascel,male
Jacqueline Boyer,female
Conchita Bautista,female
Colette Deréal,female
Jimmy Makulis,male
Laila Kinnunen,female
Ljiljana Petrović,female
Greetje Kauffeld,female
Lill-Babs,female
Lale Andersen,female
Jean-Paul Mauric,male
Franca di Rienzo,female
Dario Campeotto,male
Jean-Claude Pascal,male
The Allisons,group
Betty Curtis,female
Marion Rung,female
Víctor Balaguer,male
Eleonore Schwarz,female
Ellen Winther,female
Inger Berggren,female
Conny Froboess,female
De Spelbrekers,group
Isabelle Aubret,female
Inger Jacobsen,female
Lola Novaković,female
Ronnie Carroll,male
Claudio Villa,male
Annie Palmen,female
Heidi Brühl,female
Carmela Corren,female
Anita Thallaug,female
Emilio Pericoli,male
Laila Halme,female
Grethe & Jørgen Ingmann,group
Vice Vukov,male
Esther Ofarim,female
Alain Barrière,male
José Guardiola,male
Monica Zetterlund,female
Jacques Raymond,male
Françoise Hardy,female
Nana Mouskouri,female
Hugues Aufray,male
Anneke Grönloh,female
Arne Bendiksen,male
Bjørn Tidmand,male
Lasse Mårtenson,male
Udo Jürgens,male
Rachel,female
Matt Monro,male
Nora Nova,female
Romuald,male
António Calvário,male
Gigliola Cinquetti,female
Sabahudin Kurt,male
Robert Cogoi,male
"Tim, Nelly & Tony",group
Conny Vandenbos,female
Kathy Kirby,female
Butch Moore,male
Ulla Wiesner,female
Kirsti Sparboe,female
Lize Marke,female
Marjorie Noël,female
Ingvar Wixell,male
Guy Mardel,male
Simone de Oliveira,female
Bobby Solo,male
Birgit Brüel,female
France Gall,female
Viktor Klimenko,male
Yovanna,female
Margot Eskens,female
Ulla Pia,female
Tonia,female
Michèle Torr,female
Berta Ambrož,female
Åse Kleveland,female
Ann Christine,female
Madalena Iglésias,female
Lill Lindfors & Svante Thuresson,group
Raphael,male
Madeleine Pascal,female
Téréza,female
Dominique Walter,male
Milly Scott,female
Dickie Rock,male
Kenneth McKellar,male
Thérèse Steinmetz,female
Vicky Leandros,female
Peter Horton,male
Noëlle Cordier,female
Eduardo Nascimento,male
Géraldine,female
Östen Warnerbring,male
Fredi,male
Inge Brück,female
Louis Neefs,male
Sandie Shaw,female
Minouche Barelli,female
Lado Leskovar,male
Sean Dunphy,male
Carlos Mendes,male
Ronnie Tober,male
Claude Lombard,female
Karel Gott,male
Chris Baldo & Sophie Garel,group
Gianni Mascolo,male
Line & Willy,group
Claes-Göran Hederström,male
Kristina Hautala,female
Sergio Endrigo,male
Cliff Richard,male
Odd Børre,male
Pat McGuigan,male
Massiel,female
Wenche Myhre,female
Luci Capurso & Hamo Hajdarhodžić,group
Ivan[hr] & 4M,group
Salomé,female
Jean Jacques,male
Muriel Day and The Lindsays,group
Iva Zanicchi,female
Lulu,female
Lenny Kuhr,female
Tommy Körberg,male
Paola del Medico,female
Frida Boccara,female
Jarkko & Laura,group
Patricia & Hearts of Soul,group
Henri Dès,male
Gianni Morandi,male
Eva Sršen,female
Jean Vallée,male
Guy Bonnet,male
Mary Hopkin,female
David Alexandre Winter,male
Julio Iglesias,male
Dominique Dussault,female
Katja Ebstein,female
Dana,female
Marianne Mendt,female
Joe Grech,male
Séverine,female
"Peter, Sue and Marc",group
Karina,female
Serge Lama,male
Monique Melsen,female
Clodagh Rodgers,female
Lily Castel & Jacques Raymond,group
Massimo Ranieri,male
Family Four,group
Angela Farrell,female
Saskia & Serge,group
Tonicha,female
Krunoslav Slabinac,male
Markku Aro & Koivistolaiset,group
Hanne Krogh,female
Mary Roos,female
Betty Mars,female
Sandie Jones,female
Jaime Morey,male
The New Seekers,group
Grethe Kausland & Benny Borg,group
Véronique Müller,female
Helen & Joseph,group
Päivi Paunu & Kim Floor,group
Milestones,group
Nicola Di Bari,male
Tereza Kesovija,female
Anne-Marie Godart[fr] & Peter McLane,group
Serge & Christine Ghisoland,group
Sandra & Andres,group
Nicole & Hugo,group
Fernando Tordo,male
Gitte,female
Bendik Singers,group
Marie,female
Mocedades,group
Patrick Juvet,male
Zdravko Čolić,male
Anne-Marie David,female
The Nova & The Dolls,group
Ben Cramer,male
Maxi,female
Martine Clémenceau,female
Ilanit,female
Carita,female
Olivia Newton-John,female
Peret,male
Anne-Karine Strøm & Bendik Singers,group
Marinella,female
Poogy,group
Korni Grupa,group
ABBA,group
Ireen Sheer,female
Jacques Hustin,male
Mouth & MacNeal,group
Tina Reynolds,female
Cindy & Bert,group
Piera Martell,female
Paulo de Carvalho,male
Teach-In,group
The Swarbriggs,group
Nicole Rieu,female
Joy Fleming,female
Geraldine,female
Ellen Nikolaysen,female
Simone Drexel,female
Pepel in kri,group
The Shadows,group
Renato,male
Ann Christy,female
Shlomo Artzi,male
Semiha Yankı,female
Sophie,female
Pihasoittajat,group
Duarte Mendes,male
Sergio & Estíbaliz,group
Lasse Berghagen & The Dolls,group
Wess & Dori Ghezzi,group
Brotherhood of Man,group
Les Humphries Singers,group
"Chocolate, Menta, Mastik",group
Jürgen Marcus,male
Pierre Rapsat,male
Red Hurley,male
Sandra Reemer,female
Anne-Karine Strøm,female
Mariza Koch,female
Fredi & The Friends,group
Braulio,male
Al Bano & Romina Power,group
Waterloo & Robinson,group
Carlos do Carmo,male
Mary Christy,female
Catherine Ferry,female
Ambasadori,group
The Swarbriggs Plus Two,group
Heddy Lester,female
Schmetterlinge,group
Anita Skorgan,female
Silver Convention,group
Anne-Marie B,female
Os Amigos,group
Lynsey de Paul & Mike Moran,group
"Pascalis[el], Marianna[el], Robert[el] & Bessy",group
Pepe Lienhard Band,group
Forbes,group
Micky,male
Mia Martini,female
Monica Aspelund,female
Dream Express,group
Marie Myriam,female
Colm C. T. Wilkinson,male
Jahn Teigen,male
Ricchi e Poveri,group
Seija Simola,female
Gemini,group
Joël Prévost,male
José Vélez,male
Co-Co,group
Carole Vinci,female
Harmony,group
Nilüfer & Nazar,group
Caline[fr] & Olivier Toussaint,group
Tania Tsanaklidou,female
Mabel,female
Baccara,group
Izhar Cohen & the Alphabeta,group
Springtime,group
Björn Skifs,male
Manuela Bravo,female
Matia Bazar,group
Tommy Seebach,male
Cathal Dunne,male
Katri Helena,female
Laurent Vaguener,male
Elpida,female
"Peter, Sue and Marc & Pfuri, Gorps & Kniri",group
Dschinghis Khan,group
Milk and Honey,group
Micha Marah,female
Jeane Manson,female
Xandra,female
Ted Gärdestad,male
Black Lace,group
Christina Simon,female
Betty Missiego,female
Blue Danube,group
Ajda Pekkan,female
Anna Vissi & the Epikouri,group
Sophie & Magaly,group
Samira Bensaïd,female
Alan Sorrenti,male
Bamses Venner,group
Tomas Ledin,male
Vesa-Matti Loiri,male
Sverre Kjelsberg & Mattis Hætta,group
Prima Donna,group
José Cid,male
Maggie MacNeal,female
Profil,group
Johnny Logan,male
Trigo Limpio,group
Telex,group
Marty Brem,male
Modern Folk Üçlüsü & Ayşegül,group
Lena Valaitis,female
Hakol Over Habibi,group
Tommy Seebach & Debbie Cameron,group
Seid Memić Vajta,male
Riki Sorsa,male
Jean Gabilou,male
Bacchelli,male
Linda Williams,female
Sheeba,group
Finn Kalvik,male
Bucks Fizz,group
Carlos Paião,male
Emly Starr,female
Yiannis Dimitras,male
Island,group
Doce,group
Svetlana,female
Jahn Teigen & Anita Skorgan,group
Bardo,group
Neco,male
Kojo,male
Arlette Zola,female
Anna Vissi,female
Chips,group
Mess,group
Stella,female
Lucía,female
Brixx,group
Aska,group
Avi Toledano,male
Bill van Dijk,male
The Duskeys,group
Nicole,female
Sweet Dreams,group
Carola,female
Riccardo Fogli,male
Çetin Alp & The Short Waves,group
Remedios Amaya,female
Mariella Farré,female
Ami Aspelund,female
Christie Stassinopoulou,female
Bernadette,female
Daniel,male
Stavros[de] & Constantina,group
Hoffmann & Hoffmann,group
Gry Johansen,female
Ofra Haza,female
Armando Gama,male
Westend,group
Pas de Deux,group
Corinne Hermès,female
Herreys,group
Sophie Carle,female
Annick Thoumazeau,female
Bravo,group
Dollie de Luxe,group
Belle and the Devotions,group
Andy Paul,male
Jacques Zegers,male
Linda Martin,female
Hot Eyes,group
Maribelle,female
Izolda & Vlado,group
Anita,female
"Beş Yıl Önce, On Yıl Sonra",group
Kirka,male
Rainy Day,group
Alice & Franco Battiato,group
Maria Guinot,female
Maria Christian,female
Sonja Lumme,female
Lia Vissi,female
Paloma San Basilio,female
Roger Bens,male
MFÖ,group
Linda Lepomme,female
Adelaide,female
Wind,group
Izhar Cohen,male
Bobbysocks!,group
Vikki,female
Mariella Farré & Pino Gasparini,group
Kikki Danielsson,female
Gary Lux,male
"Margo[nl], Franck Olivier, Diane Solomon, Ireen Sheer, Chris & Malcolm Roberts",group
Takis Biniaris,male
Sherisse Laurence,female
Doris Dragović,female
Cocktail Chic,group
Ketil Stokkan,male
Ryder,group
ICY,group
Frizzle Sizzle,group
Klips ve Onlar,group
Cadillac,group
Daniela Simmons,female
Moti Giladi & Sarai Tzuriel,group
Luv Bug,group
Sandra Kim,female
Ingrid Peters,female
Timna Brauer,female
Lasse Holm & Monica Törnell,group
Lise Haavik,female
Kari,male
Dora,female
Kate Gulbrandsen,female
Datner[he] & Kushnir,group
Halla Margrét,female
Liliane Saint-Pierre,female
Lotta Engberg,female
Umberto Tozzi & Raf,group
Nevada,group
Patricia Kraus,female
Seyyal Taner & Lokomotif,group
Bang,group
Marcha,female
Plastic Bertrand,male
Rikki,male
Christine Minier,female
Alexia,female
Vicky Rosti,female
Anne-Cathrine Herdorf & Bandjo,group
Novi fosili,group
Carol Rich,female
Beathoven,group
Boulevard,group
Scott Fitzgerald,male
La Década,group
Gerard Joling,male
Yardena Arazi,female
Céline Dion,female
Jump the Gun,group
Maxi & Chris Garden,group
Wilfried,male
Kirsten & Søren,group
Afrodite Fryda,female
Karoline Krüger,female
Reynaert,male
Lara Fabian,female
Luca Barbarossa,male
Gérard Lenorman,male
Srebrna krila,group
Anna Oxa & Fausto Leali,group
Gili & Galit,group
Kiev Connolly & The Missing Passengers,group
Justine Pelmelay,female
Pan,group
Ingeborg,female
Live Report,group
Britt Synnøve Johansen,female
Da Vinci,group
Tommy Nilsson,male
Park Café,group
Birthe Kjær,female
Thomas Forstner,male
Anneli Saaristo,female
Nathalie Pâque,female
Nina,female
Fani Polymeri[el] & Yiannis Savvidakis,group
Furbaz,group
Marianna Efstratiou,female
Daníel Ágúst Haraldsson,male
Nino de Angelo,male
Riva,group
Azúcar Moreno,group
Christos Callow & Wave,group
Philippe Lafontaine,male
Kayahan,male
Maywood,group
Céline Carzo,female
Emma,female
Stjórnin,group
Rita,female
Lonnie Devantier,female
Egon Egemann,male
Chris Kempers & Daniel Kovac,group
Joëlle Ursull,female
Tajči,female
Nucha,female
Liam Reilly,male
Edin-Ådahl,group
Toto Cutugno,male
Simone,female
Haris Anastasiou,male
Beat,group
Baby Doll,female
Stefán & Eyfi,group
Georgina & Paul Giordimaina,group
Sophia Vossou,female
Sandra Simó,female
Sarah Bray,female
Amina,female
"Can Uğurluer, İzel Çeliköz & Reyhan Karaca",group
Kim Jackson,female
Dulce Pontes,female
Anders Frandsen,male
Just 4 Fun,group
Duo Datz,group
Kaija,female
Atlantis 2000,group
Clouseau,group
Sergio Dalma,male
Samantha Janus,female
Elena Patroklou,female
Peppino di Capri,male
Serafín Zubiri,male
Morgane,female
Dafna Dekel,female
Aylin Vatankoş,female
Cleopatra,female
Kali,male
Christer Björkman,male
Dina,female
Evridiki,female
Mary Spiteri,female
Heart 2 Heart,group
Pave,male
Daisy Auvray,female
Marion Welter & Kontinent,group
Tony Wegas,male
Michael Ball,male
Lotte Nilsson[da] & Kenny Lübcke,group
Extra Nena,female
Merethe Trøan,female
Humphrey Campbell,male
Enrico Ruggeri,male
Burak Aydos,male
Münchener Freiheit,male
Annie Cotton,female
Tommy Seebach Band,group
Katerina Garbi,female
Barbara Dex,female
William Mangion,male
Inga,female
Anabela,female
Patrick Fiori,male
Arvingarna,group
Niamh Kavanagh,female
Modern Times,group
1X Band,group
Fazla,male
Sonia,female
Ruth Jacott,female
Put,group
Eva Santamaría,female
Zymboulakis & Van Beke,group
Lahakat Shiru,group
Silje Vige,female
Marie Bergman & Roger Pontare,group
CatCat,group
Paul Harrington & Charlie McGettigan,group
Sigga,female
Frances Ruffelle,female
Tony Cetinski,male
Sara Tavares,female
Duilio,male
Silvi Vrait,female
Dan Bittman,male
Chris and Moira,group
Willeke Alberti,female
MeKaDo,group
Martin Ďurinda & Tublatanka,group
Ovidijus Vyšniauskas,male
Elisabeth Andreassen & Jan Werner Danielsen,group
Alma & Dejan,group
Kostas Bigalis & The Sea Lovers,group
Petra Frey,female
Alejandro Abad,male
Friderika Bayer,female
Youddiph,female
Edyta Górniak,female
Nina Morato,female
Justyna,female
Eddie Friel,male
Stone & Stone,group
Davor Popović,male
Secret Garden,group
Philipp Kirkorov,male
Bo Halldórsson,male
Stella Jones,female
Anabel Conde,female
Arzu Ece,female
Magazin & Lidija,group
Nathalie Santamaria,female
Csaba Szigeti,male
Frédéric Etherlinck,male
Love City Groove,group
Tó Cruz,male
Alexandros Panayi,male
Jan Johansen,male
Aud Wilken,female
Darja Švajger,female
Liora,female
Mike Spiteri,male
Elina Konstantopoulou,female
Şebnem Paker,female
Gina G,female
Antonio Carbonell,male
Lúcia Moniz,female
Constantinos Christoforou,male
Miriam Christine,female
Maja Blagdan,female
George Nussbaumer,male
Kathy Leander,female
Maarja-Liis Ilus & Ivo Linna,group
Elisabeth Andreassen,female
Dan Ar Braz & L'Héritage des Celtes,group
Regina,female
Maxine & Franklin Brown,group
Lisa del Bo,female
Eimear Quinn,female
Jasmine,female
Anna Mjöll,female
Kasia Kowalska,female
Amila Glamočak,female
Marcel Palonder,male
One More Time,group
Hara & Andreas Konstantinou,group
Şebnem Paker & Grup Etnic,group
Tor Endresen,male
Bettina Soriat,female
Marc Roberts,male
Tanja Ribič,female
Barbara Berta,female
Mrs. Einstein,group
Jalisse,group
Marcos Llunas,male
Bianca Shomburg,female
Anna Maria Jopek,female
Maarja-Liis Ilus,female
Alma Čardžić,female
Célia Lawson,female
Blond,group
Marianna Zorba,female
Debbie Scerri,female
V.I.P.,group
Alla Pugacheva,female
Kølig Kaj,male
Fanny,female
E.N.I.,group
Katrina and the Waves,group
Paul Oscar,male
Danijela,female
Thalassa,group
Marie Line,female
Mikel Herzog,male
Gunvor,female
Katarína Hasprová,female
Sixteen,group
Dana International,female
Guildo Horn,male
Chiara,female
Charlie,male
Vili Resnik,male
Dawn Martin,female
Alma Lusa,group
Mălina Olinescu,female
Imaani,female
Michael Hajiyanni,male
Edsilia Rombley,female
Jill Johnson,female
Mélanie Cohl,female
Edea,group
